価格,階数,築年月,占有面積,間取り,交通,所在地,平米単価,管理費,修繕積立金,建物名,建物構造,総戸数,駐車場,バイク置き場,ペット,土地権利,管理形態
355万円,5階建 / 5階,"1983年5月
(築38年1ヶ月)",30.53m²,１ＤＫ,"
			ＪＲ青梅線 / 東青梅駅 徒歩3分
							（電車ルート案内）
										
				ＪＲ中央線 / 立川駅 徒歩225分
									（電車ルート案内）
														
				西武池袋線 / 飯能駅 徒歩125分[バス利用可] バス 36分  停歩3分
									（電車ルート案内）
									","
			東京都青梅市東青梅１丁目
					",11.63万円,"6,000円",なし, ,ＲＣ,－,－,－,"
									－
							",所有権,"
									自主管理
						"
360万円,地上6階地下1階建 / 1階,"1983年10月
(築37年8ヶ月)",16.50m²,ワンルーム,"
			京王線 / 聖蹟桜ヶ丘駅 徒歩6分
							（電車ルート案内）
											","
			東京都多摩市一ノ宮１丁目
							（地図を見る）
					",21.82万円,"6,690円","2,230円",メゾンドノア聖蹟桜ヶ丘,ＲＣ,194戸,無,無,"
									－
							",所有権,"
									全部委託・日勤管理
						"
360万円,4階建 / 3階,"1990年10月
(築30年8ヶ月)",16.64m²,ワンルーム,"
			京王線 / 京王八王子駅 徒歩20分
							（電車ルート案内）
											","
			東京都八王子市大和田町２丁目
							（地図を見る）
					",21.64万円,"2,000円","3,000円",ペアヒルズ大和田,ＲＣ,24戸,－,－,"
									－
							",所有権,"
									一部委託・巡回管理（有限会社聖蹟ハウジング）
						"
360万円,10階建 / 4階,"1990年1月
(築31年5ヶ月)",18.90m²,ワンルーム,"
			ＪＲ中央線 / 西八王子駅 徒歩11分
							（電車ルート案内）
											","
			東京都八王子市八木町
							（地図を見る）
					",19.05万円,"4,700円","2,000円",ライオンズマンション西八王子第参,ＳＲＣ,92戸,－,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
370万円,5階建 / 2階,"1992年1月
(築29年5ヶ月)",19.66m²,１Ｋ,"
			ＪＲ中央線 / 八王子駅 徒歩15分
							（電車ルート案内）
										
				ＪＲ横浜線 / 八王子駅 徒歩15分
									（電車ルート案内）
														
				ＪＲ八高線 / 八王子駅 徒歩15分
									（電車ルート案内）
									","
			東京都八王子市北野町
							（地図を見る）
					",18.82万円,"8,700円","5,000円",ライオンズマンション八王子第三,ＲＣ,43戸,空無,無,"
									－
							",所有権,"
									全部委託・巡回管理
						"
380万円,4階建 / 3階,"1979年12月
(築41年6ヶ月)",52.65m²,３ＤＫ,"
			ＪＲ青梅線 / 青梅駅 徒歩4分
							（電車ルート案内）
											","
			東京都青梅市仲町
							（地図を見る）
					",7.22万円,－,"8,000円", ,ＲＣ,－,"近有 11,000円/月",－,"
									－
							",所有権,"
									自主管理
						"
380万円,5階建 / 1階,"1992年7月
(築28年11ヶ月)",18.29m²,１Ｋ,"
			京王線 / 京王八王子駅 徒歩16分
							（電車ルート案内）
										
				ＪＲ中央線 / 八王子駅 徒歩18分
									（電車ルート案内）
												","
			東京都八王子市大和田町７丁目
							（地図を見る）
					",20.78万円,"8,500円","3,820円",ライオンズマンション八王子第六,ＲＣ,－,"有 10,000円/月",有 300円/月,"
									－
							",所有権,"
									巡回管理
						"
380万円,地上4階地下1階建 / 2階,"1987年3月
(築34年3ヶ月)",20.58m²,ワンルーム,"
			ＪＲ中央線 / 八王子駅 徒歩8分
							（電車ルート案内）
										
				京王高尾線 / 京王片倉駅 徒歩3分
									（電車ルート案内）
														
				ＪＲ横浜線 / 八王子駅 徒歩8分
									（電車ルート案内）
									","
			東京都八王子市子安町３丁目
							（地図を見る）
					",18.47万円,"5,400円",－,マドレーヌ子安町,ＲＣ,36戸,無,有,"
									－
							",所有権,"
									全部委託・巡回管理
						"
380万円,6階建 / 3階,"1986年3月
(築35年3ヶ月)",16.83m²,ワンルーム,"
			ＪＲ中央線 / 八王子駅 徒歩13分
							（電車ルート案内）
										
				京王線 / 京王八王子駅 徒歩17分
									（電車ルート案内）
												","
			東京都八王子市天神町
							（地図を見る）
					",22.58万円,"6,300円","2,140円",パレ・ドール八王子,ＲＣ,118戸,無,有 無料,"
									－
							",所有権,"
									全部委託・日勤管理（エヌティーコーポレーション）
						"
380万円,5階建 / 5階,"1975年5月
(築46年1ヶ月)",45.92m²,１ＬＤＫ,"
			ＪＲ青梅線 / 小作駅 徒歩11分
							（電車ルート案内）
										
				ＪＲ青梅線 / 羽村駅 徒歩20分
									（電車ルート案内）
												","
			東京都羽村市栄町２丁目
							（地図を見る）
					",8.28万円,"12,190円",なし, ,ＲＣ,－,－,－,"
									－
							",所有権,"
									自主管理
						"
