価格,階数,築年月,占有面積,間取り,交通,所在地,平米単価,管理費,修繕積立金,建物名,建物構造,総戸数,駐車場,バイク置き場,ペット,土地権利,管理形態
380万円,3階建 / 1階,"1989年3月
(築32年3ヶ月)",15.21m²,１Ｋ,"
			ＪＲ中央線 / 豊田駅 徒歩15分
							（電車ルート案内）
										
				ＪＲ八高線 / 北八王子駅 徒歩15分
									（電車ルート案内）
														
				京王線 / 平山城址公園駅 徒歩30分
									（電車ルート案内）
									","
			東京都日野市旭が丘２丁目
							（地図を見る）
					",24.99万円,"6,000円","2,000円", ,ＳＲＣ,74戸,"有 10,500円/月",有 無料,"
									－
							",所有権,"
									全部委託・巡回管理（桑都ビル管理株式会社）
						"
380万円,9階建 / 5階,"1991年12月
(築29年6ヶ月)",17.01m²,１Ｋ,"
			ＪＲ八高線 / 東福生駅 徒歩5分
							（電車ルート案内）
										
				ＪＲ青梅線 / 福生駅 徒歩12分
									（電車ルート案内）
												","
			東京都福生市大字福生
							（地図を見る）
					",22.34万円,"7,500円","4,420円",アーバンヒルズ福生,SRC・RC,50戸,無,無,"
									－
							",所有権,"
									全部委託・巡回管理
						"
390万円,5階建 / 5階,"1973年3月
(築48年3ヶ月)",57.58m²,３ＤＫ,"
			西武池袋線 / 清瀬駅【バス】 10分 団地保育園前 停歩4分
							（電車ルート案内）
											","
			東京都清瀬市中里６丁目
							（地図を見る）
					",6.78万円,"6,800円","7,000円",清瀬台田団地４号棟,ＲＣ,380戸,空無,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
390万円,5階建 / 4階,"1981年5月
(築40年1ヶ月)",40.71m²,３ＤＫ,"
			西武新宿線 / 久米川駅 徒歩12分
							（電車ルート案内）
										
				西武多摩湖線 / 八坂駅 徒歩13分
									（電車ルート案内）
														
				西武新宿線 / 東村山駅 徒歩16分
									（電車ルート案内）
									","
			東京都東村山市美住町２丁目
							（地図を見る）
					",9.58万円,"5,000円","6,000円",久米川兼六ハイム,ＲＣ,20戸,無,－,"
									－
							",所有権,"
									全部委託・巡回管理（株式会社エムエスケイサービス）
						"
390万円,3階建 / 3階,"1989年3月
(築32年3ヶ月)",17.01m²,１Ｋ,"
			ＪＲ中央線 / 豊田駅 徒歩14分
							（電車ルート案内）
											","
			東京都日野市旭が丘２丁目
							（地図を見る）
					",22.93万円,"6,000円","2,000円",共立リライアンス豊田Ｄ棟,ＲＣ,12戸,空無,有,"
									－
							",所有権,"
									全部委託・巡回管理
						"
390万円,6階建 / 2階,"1990年11月
(築30年7ヶ月)",26.53m²,ワンルーム,"
			ＪＲ青梅線 / 福生駅 徒歩5分
							（電車ルート案内）
											","
			東京都福生市武蔵野台２丁目
							（地図を見る）
					",14.71万円,"10,400円","7,870円", ,ＲＣ,－,－,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
395万円,7階建 / 4階,"1992年10月
(築28年8ヶ月)",19.60m²,ワンルーム,"
			京王線 / 北野駅 徒歩7分
							（電車ルート案内）
										
				京王高尾線 / 北野駅 徒歩7分
									（電車ルート案内）
												","
			東京都八王子市北野町
							（地図を見る）
					",20.16万円,"6,640円","6,210円",ライオンズマンション八王子北野,ＲＣ,94戸,空無,無,"
									－
							",所有権,"
									全部委託・巡回管理
						"
398万円,地上5階地下1階建 / 3階,"1992年7月
(築28年11ヶ月)",20.06m²,１Ｋ,"
			ＪＲ中央線 / 八王子駅 徒歩16分
							（電車ルート案内）
										
				京王線 / 京王八王子駅 徒歩15分
									（電車ルート案内）
														
				ＪＲ中央線 / 八王子駅【バス】 5分 八王子郵便局 停歩5分
									（電車ルート案内）
									","
			東京都八王子市大和田町７丁目
							（地図を見る）
					",19.85万円,"9,350円","4,190円",ライオンズマンション八王子第六,ＲＣ,101戸,－,－,"
									－
							",所有権,"
									日勤管理
						"
730万円,5階建 / 5階,"1971年5月
(築50年1ヶ月)",48.85m²,３ＤＫ,"
			京王相模原線 / 京王永山駅 徒歩12分
							（電車ルート案内）
										
				小田急多摩線 / 小田急永山駅 徒歩12分
									（電車ルート案内）
												","
			東京都多摩市永山３丁目
							（地図を見る）
					",14.95万円,"4,000円","6,000円",永山団地３－２,ＲＣ,210戸,"有 6,000円/月","有 1,000円/月","
									－
							",所有権,"
									自主管理
						"
740万円,7階建 / 5階,"1989年5月
(築32年1ヶ月)",19.44m²,１Ｋ,"
			ＪＲ千代田・常磐緩行線 / 亀有駅 徒歩10分
							（電車ルート案内）
											","
			東京都足立区東和２丁目
							（地図を見る）
					",38.07万円,"8,165円","3,499円",ワコーレ亀有２,ＲＣ,29戸,－,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
740万円,4階建 / 2階,"1987年12月
(築33年6ヶ月)",14.78m²,ワンルーム,"
			東武東上線 / 成増駅 徒歩5分
							（電車ルート案内）
										
				東京メトロ有楽町線 / 地下鉄成増駅 徒歩7分
									（電車ルート案内）
														
				東京メトロ副都心線 / 地下鉄成増駅 徒歩7分
									（電車ルート案内）
									","
			東京都板橋区赤塚３丁目
							（地図を見る）
					",50.07万円,"5,000円","3,000円",シェロ成増,ＲＣ,－,－,－,"
									－
							",所有権,"
									全部委託・日勤管理
						"
740万円,7階建 / 6階,"1979年1月
(築42年5ヶ月)",55.79m²,３ＤＫ,"
			ＪＲ青梅線 / 小作駅 徒歩10分
							（電車ルート案内）
										
				ＪＲ青梅線 / 河辺駅 徒歩30分
									（電車ルート案内）
														
				ＪＲ青梅線 / 羽村駅 徒歩34分
									（電車ルート案内）
									","
			東京都青梅市末広町２丁目
							（地図を見る）
					",13.27万円,"8,100円","1,890円",コーポ武蔵末広,ＲＣ,69戸,無,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
740万円,4階建 / 4階,"1981年7月
(築39年11ヶ月)",19.38m²,ワンルーム,"
			都営浅草線 / 馬込駅 徒歩6分
							（電車ルート案内）
											","
			東京都大田区中馬込２丁目
							（地図を見る）
					",38.19万円,"5,000円","6,460円",メゾン・ド・アルジャン,ＲＣ,41戸,無,無,"
									－
							",所有権,"
									全部委託・巡回管理
						"
740万円,8階建 / 7階,"1971年2月
(築50年4ヶ月)",24.50m²,１ＤＫ,"
			ＪＲ中央線 / 武蔵小金井駅 徒歩8分
							（電車ルート案内）
											","
			東京都小金井市本町３丁目
							（地図を見る）
					",30.21万円,"6,100円","6,100円",フラッツ小金井,ＲＣ,37戸,無,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
740万円,4階建 / 4階,"1981年3月
(築40年3ヶ月)",12.25m²,ワンルーム,"
			京王線 / 代田橋駅 徒歩2分
							（電車ルート案内）
										
				京王線 / 笹塚駅 徒歩10分
									（電車ルート案内）
														
				京王井の頭線 / 明大前駅 徒歩12分
									（電車ルート案内）
									","
			東京都世田谷区大原２丁目
							（地図を見る）
					",60.41万円,"5,000円","4,830円",メゾン・ド・セルモン,ＲＣ,16戸,－,－,"
									－
							",所有権,"
									全部委託・巡回管理（株式会社プレストサービス）
						"
740万円,5階建 / 5階,"1988年4月
(築33年2ヶ月)",30.41m²,１ＤＫ,"
			京王線 / 聖蹟桜ヶ丘駅 徒歩14分
							（電車ルート案内）
											","
			東京都多摩市連光寺１丁目
							（地図を見る）
					",24.34万円,"13,190円","9,120円",グローリア初穂聖蹟桜ケ丘,ＲＣ,25戸,空無,－,"
									－
							",所有権,"
									日勤管理
						"
740万円,5階建 / 5階,"1990年8月
(築30年10ヶ月)",15.09m²,ワンルーム,"
			西武新宿線 / 新井薬師前駅 徒歩5分
							（電車ルート案内）
											","
			東京都中野区松が丘１丁目
							（地図を見る）
					",49.04万円,"9,040円","5,410円",リバティパーク哲学堂 5階部分,鉄骨造,12戸,－,－,"
									－
							",所有権,"
									全部委託・巡回管理（大京アステージ）
						"
750万円,5階建 / 3階,"1987年12月
(築33年6ヶ月)",18.09m²,１Ｋ,"
			東武伊勢崎線 / 竹ノ塚駅 徒歩5分
							（電車ルート案内）
											","
			東京都足立区伊興４丁目
							（地図を見る）
					",41.46万円,"7,700円","6,000円", ,ＲＣ,49戸,－,－,"
									－
							",所有権,"
									全部委託・日勤管理（日神管理株式会社）
						"
750万円,7階建 / 6階,"1989年5月
(築32年1ヶ月)",18.76m²,１Ｋ,"
			ＪＲ千代田・常磐緩行線 / 亀有駅 徒歩10分
							（電車ルート案内）
											","
			東京都足立区東和２丁目
							（地図を見る）
					",39.98万円,"7,879円","3,377円",ワコーレ亀有２,ＲＣ,29戸,無,－,"
									－
							",所有権,"
									巡回管理
						"
750万円,7階建 / 6階,"1989年5月
(築32年1ヶ月)",18.76m²,１Ｋ,"
			ＪＲ千代田・常磐緩行線 / 亀有駅 徒歩10分
							（電車ルート案内）
											","
			東京都足立区東和２丁目
							（地図を見る）
					",39.98万円,"7,879円","3,377円",ワコーレ亀有ＩＩ,ＲＣ,29戸,無,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
750万円,10階建 / 6階,"1990年7月
(築30年11ヶ月)",65.37m²,３ＤＫ,"
			ＪＲ青梅線 / 青梅駅 徒歩4分
							（電車ルート案内）
											","
			東京都青梅市住江町
					",11.48万円,"8,955円","24,840円",リライアンス青梅,ＳＲＣ,16戸,無,－,"
									－
							",所有権,"
									自主管理
						"
750万円,7階建 / 4階,"1991年3月
(築30年3ヶ月)",56.10m²,３ＬＤＫ,"
			ＪＲ青梅線 / 青梅駅 徒歩4分
							（電車ルート案内）
											","
			東京都青梅市仲町
							（地図を見る）
					",13.37万円,"10,000円","20,000円", ,鉄骨造,－,"近有 10,000円/月",有,"
															相談												",所有権,"
									自主管理
						"
750万円,5階建 / 1階,"1974年10月
(築46年8ヶ月)",24.30m²,１ＤＫ,"
			京急本線 / 平和島駅 徒歩8分
							（電車ルート案内）
										
				ＪＲ京浜東北線 / 大森駅 徒歩18分
									（電車ルート案内）
														
				京急本線 / 大森町駅 徒歩7分
									（電車ルート案内）
									","
			東京都大田区大森西２丁目
							（地図を見る）
					",30.87万円,"5,000円","6,100円", ,ＳＲＣ,292戸,－,－,"
									－
							",所有権,"
									全部委託・日勤管理（日本管財住宅管理(株)）
						"
750万円,5階建 / 3階,"1988年2月
(築33年4ヶ月)",21.93m²,ワンルーム,"
			京急本線 / 京急蒲田駅 徒歩15分
							（電車ルート案内）
										
				京急本線 / 梅屋敷駅 徒歩14分
									（電車ルート案内）
														
				京急空港線 / 糀谷駅 徒歩16分
									（電車ルート案内）
									","
			東京都大田区北糀谷２丁目
							（地図を見る）
					",34.20万円,"10,970円","8,880円",ライオンズマンション京浜蒲田,ＲＣ,34戸,－,－,"
									－
							",所有権,"
									全部委託・巡回管理（長谷工コミュニティ）
						"
750万円,6階建 / 1階,"1991年7月
(築29年11ヶ月)",16.32m²,ワンルーム,"
			ＪＲ京浜東北線 / 上中里駅 徒歩3分
							（電車ルート案内）
										
				都電荒川線 / 梶原駅 徒歩6分
									（電車ルート案内）
														
				ＪＲ高崎線 / 尾久駅 徒歩12分
									（電車ルート案内）
									","
			東京都北区上中里２丁目
							（地図を見る）
					",45.96万円,"8,400円","5,200円",ホーユウコンフォルト飛鳥山東,ＲＣ,56戸,－,－,"
									－
							",所有権,"
									全部委託・巡回管理（アセットライフ）
						"
750万円,6階建 / 1階,"1991年8月
(築29年10ヶ月)",16.32m²,ワンルーム,"
			ＪＲ京浜東北線 / 上中里駅 徒歩3分
							（電車ルート案内）
											","
			東京都北区上中里２丁目
							（地図を見る）
					",45.96万円,"8,400円","5,200円",ホーユウコンフォルト飛鳥山東,ＲＣ,56戸,無,－,"
									－
							",旧法賃借権,"
									全部委託・巡回管理
						"
750万円,4階建 / 3階,"1988年6月
(築33年)",16.08m²,１Ｋ,"
			都営新宿線 / 大島駅 徒歩15分
							（電車ルート案内）
											","
			東京都江東区北砂６丁目
					",46.65万円,"9,000円","5,000円",セントヒルズ大島,ＲＣ,32戸,－,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
750万円,地上4階地下1階建 / 3階,"1991年2月
(築30年4ヶ月)",17.74m²,１Ｋ,"
			ＪＲ中央線 / 武蔵小金井駅 徒歩8分
							（電車ルート案内）
											","
			東京都小金井市前原町３丁目
							（地図を見る）
					",42.28万円,"10,413円",－,日興パレス小金井ＰＡＲＴ２,ＲＣ,36戸,無,無,"
									－
							",所有権,"
									全部委託・巡回管理
						"
750万円,4階建 / 1階,"1977年1月
(築44年5ヶ月)",93.63m²,２ＤＫ,"
			ＪＲ武蔵野線 / 新小平駅 徒歩9分
							（電車ルート案内）
											","
			東京都小平市小川町２丁目
							（地図を見る）
					",8.02万円,"7,800円",－,コーワコーポ,鉄骨造,12戸,無,－,"
									－
							",所有権,"
									自主管理
						"
750万円,6階建 / 5階,"1981年1月
(築40年5ヶ月)",44.55m²,３ＤＫ,"
			西武新宿線 / 花小金井駅 徒歩3分
							（電車ルート案内）
											","
			東京都小平市花小金井１丁目
							（地図を見る）
					",16.84万円,"10,200円","13,230円", ,ＲＣ,－,－,－,"
									－
							",旧法賃借権,"
									全部委託・日勤管理（日本ハウズイング）
						"
750万円,地上4階地下1階建 / 3階,"1977年7月
(築43年11ヶ月)",29.60m²,２Ｋ,"
			西武新宿線 / 井荻駅 徒歩8分
							（電車ルート案内）
											","
			東京都杉並区上井草１丁目
							（地図を見る）
					",25.34万円,－,なし,井草レジデンス 3階,ＳＲＣ,1戸,－,無,"
									－
							",所有権,"
									自主管理
						"
750万円,4階建 / 3階,"1984年2月
(築37年4ヶ月)",17.13m²,ワンルーム,"
			京王井の頭線 / 富士見ヶ丘駅 徒歩6分
							（電車ルート案内）
										
				京王井の頭線 / 高井戸駅 徒歩12分
									（電車ルート案内）
														
				京王井の頭線 / 久我山駅 徒歩16分
									（電車ルート案内）
									","
			東京都杉並区高井戸西１丁目
							（地図を見る）
					",43.79万円,"6,600円","3,900円", ,ＲＣ,41戸,－,－,"
									－
							",所有権,"
									全部委託・巡回管理（国際ビルｻｰﾋﾞｽ株式会社）
						"
750万円,4階建 / 2階,"1989年10月
(築31年8ヶ月)",16.60m²,ワンルーム,"
			東京メトロ丸ノ内方南支線 / 方南町駅 徒歩11分
							（電車ルート案内）
										
				東京メトロ丸ノ内線 / 東高円寺駅 徒歩16分
									（電車ルート案内）
														
				東京メトロ丸ノ内線 / 新高円寺駅 徒歩16分
									（電車ルート案内）
									","
			東京都杉並区堀ノ内２丁目
							（地図を見る）
					",45.19万円,"6,900円","6,900円",ジェイパーク方南町,ＲＣ,36戸,－,－,"
									－
							",所有権,"
									全部委託・巡回管理（日本ハウズイング株式会社）
						"
750万円,5階建 / 4階,"1974年6月
(築47年)",25.02m²,１ＤＫ,"
			東武亀戸線 / 曳舟駅 徒歩4分
							（電車ルート案内）
										
				京成押上線 / 京成曳舟駅 徒歩5分
									（電車ルート案内）
														
				京成押上線 / 押上駅 徒歩12分
									（電車ルート案内）
									","
			東京都墨田区京島１丁目
							（地図を見る）
					",29.98万円,"8,460円","5,640円",曳舟マンション,ＲＣ,43戸,無,無,"
									－
							",所有権,"
									全部委託・巡回管理（グローバルコミュニティ）
						"
750万円,4階建 / 3階,"1985年5月
(築36年1ヶ月)",16.36m²,ワンルーム,"
			京王線 / 八幡山駅 徒歩5分
							（電車ルート案内）
											","
			東京都世田谷区上北沢５丁目
							（地図を見る）
					",45.85万円,"7,000円","3,500円",セントヒルズ上北沢,ＲＣ,34戸,無,－,"
									－
							",所有権,"
									全部委託・巡回管理
						"
